@RELATION snore_sound/model/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snore,not_snore}

@DATA
0.025078,0.010392,2.830078,0.114486,0.193366,0.128025,0.027570,0.028910,-32.426533,2.921494,0.607043,0.730486,0.368503,0.359903,0.128292,0.200988,-0.156823,0.000043,-0.025416,0.005645,0.069969,0.008347,0.000347,0.081824,0.005547,0.017495,0.002422,0.160331,0.000285,0.000779,0.011717,0.065983,0.000357,0.059275,0.020595,0.010537,0.317988,0.034993,0.027897,0.161417,0.024117,0.028955,3.101921,0.549005,0.383639,0.237812,0.209589,0.175735,0.163473,0.177632,0.236555,0.160909,0.140622,0.143861,0.135345,0.010463,0.000474,0.058974,0.006989,0.017824,0.003208,0.098992,0.000455,0.000948,0.014115,0.048306,0.000446,0.019398,snore
0.115161,0.006006,2.935293,0.247469,0.256682,0.928242,0.006067,0.174262,-28.224566,1.894819,0.482904,0.621202,0.620679,0.366215,-0.056309,0.157386,0.063739,-0.047721,-0.015529,-0.112729,0.049966,0.020452,0.001802,0.056354,0.008777,0.034272,0.002971,0.064999,0.001058,0.002033,0.014915,0.046919,0.002570,0.032733,0.049585,0.005130,0.247617,0.044718,0.016345,0.492319,0.003670,0.130575,2.092202,0.570962,0.365697,0.235765,0.268368,0.208262,0.227092,0.187507,0.160663,0.153279,0.144398,0.151793,0.174905,0.021959,0.001944,0.036625,0.006303,0.026043,0.002470,0.036421,0.000962,0.001769,0.012306,0.032203,0.002420,0.009305,snore
0.090723,0.011549,3.104105,0.226135,0.245208,0.785790,0.006921,0.132602,-27.669786,1.858361,0.440415,0.664901,0.513952,0.448086,-0.050559,0.115977,0.050903,-0.057189,0.066139,-0.053459,0.004498,0.021964,0.001228,0.047094,0.006967,0.035340,0.002947,0.077891,0.000981,0.001930,0.014355,0.046441,0.001694,0.037022,0.046276,0.011094,0.160747,0.043443,0.016568,0.491725,0.005125,0.111920,1.655554,0.500875,0.294273,0.212439,0.187741,0.198588,0.166514,0.159484,0.143564,0.135720,0.130053,0.167454,0.132816,0.020771,0.001358,0.031972,0.006489,0.030146,0.002328,0.055006,0.001382,0.001755,0.011906,0.039122,0.001564,0.012198,snore
0.024826,0.014959,2.827388,0.118109,0.198183,0.118356,0.025697,0.026896,-31.888965,2.919306,0.634361,0.722029,0.357654,0.342258,0.120419,0.200500,-0.143857,0.001326,-0.011846,0.005807,0.089336,0.007816,0.000385,0.081754,0.005755,0.020779,0.002564,0.152478,0.000267,0.000918,0.009271,0.069713,0.000306,0.056820,0.018423,0.016325,0.326057,0.032502,0.026880,0.127429,0.021007,0.023286,2.949878,0.504398,0.363311,0.249272,0.181374,0.174724,0.159840,0.173416,0.232502,0.159866,0.128317,0.138626,0.125191,0.009095,0.000488,0.059617,0.006958,0.022474,0.003797,0.095249,0.000402,0.001212,0.009537,0.047232,0.000324,0.019550,snore
0.025166,0.008757,2.759659,0.119505,0.194892,0.177309,0.029081,0.034750,-32.362637,2.783693,0.574116,0.762333,0.370444,0.342025,0.111464,0.183120,-0.139434,0.019529,-0.040879,0.028902,0.083054,0.008923,0.000410,0.091677,0.005565,0.015311,0.002260,0.159553,0.000396,0.000844,0.010977,0.059527,0.000512,0.059103,0.017924,0.010156,0.334370,0.033733,0.026053,0.179858,0.024664,0.031228,3.236743,0.528714,0.395539,0.220829,0.226604,0.175583,0.169899,0.166541,0.225415,0.155866,0.136906,0.146617,0.124499,0.011209,0.000487,0.066610,0.007147,0.016380,0.002650,0.103207,0.000529,0.000985,0.014645,0.042540,0.000572,0.022094,snore
0.327288,0.008685,3.252918,0.369841,0.218680,2.431305,0.002666,0.505777,-27.705950,-0.656247,0.106070,0.221850,-0.045070,-0.344418,0.047445,0.314304,0.004711,-0.059976,0.216181,-0.203959,-0.095581,0.004302,0.005008,0.005385,0.003360,0.005346,0.004271,0.005504,0.003056,0.002711,0.004560,0.012010,0.002868,0.005404,0.049856,0.008317,0.094204,0.029985,0.020060,0.313477,0.000960,0.073588,1.534588,0.512782,0.239771,0.282155,0.220892,0.210303,0.205593,0.208943,0.173705,0.192720,0.195807,0.205333,0.181794,0.003467,0.003651,0.003998,0.002898,0.004200,0.003699,0.004657,0.002889,0.001852,0.003119,0.006241,0.002113,0.002678,snore
0.100684,0.005564,3.016430,0.213200,0.245396,0.799608,0.006460,0.124954,-29.323513,2.181369,-0.108821,0.549091,0.379439,0.201920,-0.068705,0.027238,-0.103682,0.092737,0.270570,-0.158808,0.076613,0.014808,0.001714,0.079840,0.007827,0.022418,0.010378,0.072791,0.001633,0.004629,0.009161,0.046822,0.002600,0.035397,0.037069,0.005231,0.252718,0.038512,0.026235,0.331115,0.003355,0.069648,1.939532,0.396742,0.404337,0.261365,0.220289,0.226648,0.212403,0.235236,0.173454,0.155866,0.176574,0.151098,0.147026,0.014869,0.001547,0.055181,0.007131,0.016348,0.009349,0.051355,0.001549,0.003797,0.006289,0.037656,0.002165,0.014159,snore
0.099074,0.006554,3.020709,0.204078,0.234225,0.841634,0.006577,0.122969,-28.841800,2.122726,-0.298144,0.676179,0.362018,0.101568,-0.052112,0.033365,-0.187082,0.138955,0.331412,-0.216694,0.074783,0.014172,0.001655,0.062371,0.007922,0.025431,0.013032,0.066992,0.002012,0.005246,0.009980,0.043816,0.002997,0.030588,0.027117,0.004912,0.226389,0.029920,0.025375,0.266460,0.003361,0.037276,1.916414,0.366781,0.457865,0.309614,0.217191,0.238717,0.202483,0.211635,0.200015,0.143521,0.195718,0.158541,0.136034,0.011982,0.001324,0.043855,0.006367,0.018619,0.010920,0.047321,0.001740,0.004293,0.006717,0.036814,0.002477,0.012598,snore
0.099920,0.004302,3.031433,0.217125,0.248458,0.769766,0.006596,0.115607,-29.542840,2.204305,-0.093763,0.477492,0.352149,0.218700,-0.107546,-0.071434,-0.108977,0.173090,0.248498,-0.149181,0.115041,0.013060,0.001712,0.070102,0.007343,0.024833,0.013609,0.076349,0.002188,0.005962,0.011645,0.043710,0.003155,0.034751,0.028392,0.003748,0.262753,0.029416,0.021425,0.267799,0.003535,0.044474,1.864534,0.336119,0.357340,0.246900,0.207209,0.200321,0.225299,0.217074,0.167203,0.154720,0.183314,0.147372,0.151884,0.012429,0.001328,0.047282,0.006580,0.021642,0.012974,0.053065,0.002242,0.005278,0.008492,0.036834,0.002730,0.012727,snore
0.097458,0.007031,3.060879,0.207693,0.236616,0.773331,0.006964,0.119813,-29.030356,2.187814,-0.083289,0.413760,0.381891,0.212820,-0.215306,-0.132052,-0.093630,0.160672,0.241953,-0.165344,0.127724,0.016484,0.001635,0.058021,0.007598,0.021669,0.014604,0.075190,0.002666,0.009684,0.014332,0.040991,0.004364,0.031733,0.028841,0.005031,0.211288,0.028473,0.019872,0.295371,0.003580,0.053663,1.928875,0.388326,0.395260,0.258851,0.208933,0.196028,0.243360,0.209305,0.164486,0.158241,0.182628,0.158528,0.148027,0.016187,0.001330,0.044969,0.006568,0.016123,0.014523,0.053554,0.002814,0.008911,0.010197,0.031421,0.003891,0.013585,snore
